Gmt time,Open,High,Low,Close,Volume
18.05.2021 03:00:00.000,1.07622,1.07675,1.07612,1.07666,2058459960.9375
18.05.2021 04:00:00.000,1.07665,1.07714,1.07619,1.07631,1925380004.8828
18.05.2021 05:00:00.000,1.07631,1.07649,1.07601,1.07634,1208849975.5859
18.05.2021 06:00:00.000,1.07638,1.07681,1.07560,1.07578,4071300048.8281
18.05.2021 07:00:00.000,1.07578,1.07718,1.07556,1.07567,5138279785.1563
18.05.2021 08:00:00.000,1.07569,1.07636,1.07524,1.07529,3960110107.4219
18.05.2021 09:00:00.000,1.07530,1.07579,1.07481,1.07509,3134949951.1719
18.05.2021 10:00:00.000,1.07510,1.07535,1.07464,1.07484,1981479980.4688
18.05.2021 11:00:00.000,1.07481,1.07508,1.07438,1.07456,2244530029.2969
18.05.2021 12:00:00.000,1.07457,1.07468,1.07378,1.07404,3013179931.6406
18.05.2021 13:00:00.000,1.07402,1.07494,1.07392,1.07466,4845339843.75
18.05.2021 14:00:00.000,1.07470,1.07564,1.07452,1.07555,4291259765.625
18.05.2021 15:00:00.000,1.07557,1.07568,1.07495,1.07509,4756729980.4688
18.05.2021 16:00:00.000,1.07509,1.07575,1.07479,1.07572,3374649902.3438
18.05.2021 17:00:00.000,1.07574,1.07591,1.07548,1.07579,2826149902.3438
18.05.2021 18:00:00.000,1.07577,1.07611,1.07562,1.07597,3813260009.7656
18.05.2021 19:00:00.000,1.07598,1.07623,1.07560,1.07612,3842370117.1875
18.05.2021 20:00:00.000,1.07613,1.07625,1.07572,1.07572,2081250000
18.05.2021 21:00:00.000,1.07555,1.07576,1.07387,1.07525,584109985.3516
18.05.2021 22:00:00.000,1.07522,1.07629,1.07519,1.07623,940169982.9102
18.05.2021 23:00:00.000,1.07622,1.07627,1.07555,1.07598,1131589965.8203
19.05.2021 00:00:00.000,1.07599,1.07615,1.07555,1.07563,2234510009.7656
19.05.2021 01:00:00.000,1.07563,1.07621,1.07517,1.07575,2610790039.0625
19.05.2021 02:00:00.000,1.07577,1.07694,1.07569,1.07673,2170070068.3594
19.05.2021 03:00:00.000,1.07673,1.07705,1.07628,1.07662,1734199951.1719
19.05.2021 04:00:00.000,1.07663,1.07694,1.07610,1.07640,2396989990.2344
19.05.2021 05:00:00.000,1.07638,1.07705,1.07626,1.07666,2093000000
19.05.2021 06:00:00.000,1.07666,1.07758,1.07643,1.07717,5109009765.625
19.05.2021 07:00:00.000,1.07717,1.07731,1.07588,1.07651,7663109863.2813
19.05.2021 08:00:00.000,1.07651,1.07686,1.07589,1.07683,5007540039.0625
19.05.2021 09:00:00.000,1.07685,1.07754,1.07667,1.07676,5540180175.7813
19.05.2021 10:00:00.000,1.07676,1.07747,1.07656,1.07706,4305140136.7188
19.05.2021 11:00:00.000,1.07706,1.07740,1.07672,1.07702,5230000000
19.05.2021 12:00:00.000,1.07701,1.07771,1.07677,1.07762,5658180175.7813
19.05.2021 13:00:00.000,1.07762,1.07818,1.07744,1.07788,10738250000
19.05.2021 14:00:00.000,1.07788,1.07904,1.07773,1.07860,9612839843.75
19.05.2021 15:00:00.000,1.07861,1.07909,1.07826,1.07887,4621229980.4688
19.05.2021 16:00:00.000,1.07884,1.07892,1.07805,1.07813,3782919921.875
19.05.2021 17:00:00.000,1.07814,1.07897,1.07808,1.07856,3758850097.6563
19.05.2021 18:00:00.000,1.07858,1.07913,1.07797,1.07820,16931990234.375
19.05.2021 19:00:00.000,1.07798,1.07841,1.07625,1.07775,9368370117.1875
19.05.2021 20:00:00.000,1.07775,1.07799,1.07659,1.07709,2775129882.8125
19.05.2021 21:00:00.000,1.07685,1.07767,1.07635,1.07707,1602239990.2344
19.05.2021 22:00:00.000,1.07706,1.07761,1.07700,1.07754,870679992.6758
19.05.2021 23:00:00.000,1.07754,1.07809,1.07720,1.07794,1296589965.8203
20.05.2021 00:00:00.000,1.07796,1.07855,1.07763,1.07845,2971550048.8281
20.05.2021 01:00:00.000,1.07845,1.07990,1.07790,1.07914,4320729980.4688
20.05.2021 02:00:00.000,1.07913,1.07918,1.07813,1.07902,2085629882.8125
20.05.2021 03:00:00.000,1.07901,1.07914,1.07830,1.07860,947609985.3516
20.05.2021 04:00:00.000,1.07863,1.07936,1.07840,1.07893,1618839965.8203
20.05.2021 05:00:00.000,1.07892,1.07903,1.07865,1.07891,1129229980.4688
20.05.2021 06:00:00.000,1.07888,1.07904,1.07806,1.07815,4465120117.1875
20.05.2021 07:00:00.000,1.07815,1.07865,1.07790,1.07838,4580569824.2188
20.05.2021 08:00:00.000,1.07842,1.07902,1.07819,1.07875,5210950195.3125
20.05.2021 09:00:00.000,1.07876,1.07921,1.07850,1.07920,3922870117.1875
20.05.2021 10:00:00.000,1.07919,1.07983,1.07900,1.07946,4025060058.5938
20.05.2021 11:00:00.000,1.07946,1.07987,1.07907,1.07971,3615550048.8281
20.05.2021 12:00:00.000,1.07972,1.07975,1.07909,1.07934,3845040039.0625
20.05.2021 13:00:00.000,1.07935,1.07971,1.07800,1.07809,5889120117.1875
20.05.2021 14:00:00.000,1.07809,1.07832,1.07726,1.07811,6521509765.625
20.05.2021 15:00:00.000,1.07813,1.07892,1.07802,1.07858,3701659912.1094
20.05.2021 16:00:00.000,1.07857,1.07930,1.07846,1.07914,6582229980.4688
20.05.2021 17:00:00.000,1.07914,1.07956,1.07907,1.07934,4695250000
20.05.2021 18:00:00.000,1.07933,1.07993,1.07919,1.07963,5284189941.4063
20.05.2021 19:00:00.000,1.07949,1.07982,1.07816,1.07909,5435020019.5313
20.05.2021 20:00:00.000,1.07907,1.07959,1.07879,1.07892,1708050048.8281
20.05.2021 21:00:00.000,1.07847,1.07939,1.07842,1.07938,330399993.8965
20.05.2021 22:00:00.000,1.07939,1.07982,1.07912,1.07969,674119995.1172
20.05.2021 23:00:00.000,1.07969,1.08014,1.07947,1.07961,1251869995.1172
21.05.2021 00:00:00.000,1.07963,1.08073,1.07946,1.08048,2521969970.7031
21.05.2021 01:00:00.000,1.08048,1.08076,1.07978,1.07981,3772110107.4219
21.05.2021 02:00:00.000,1.07981,1.07995,1.07920,1.07954,3747669921.875
21.05.2021 03:00:00.000,1.07953,1.07966,1.07909,1.07932,2048070068.3594
21.05.2021 04:00:00.000,1.07931,1.07950,1.07902,1.07933,1799170043.9453
21.05.2021 05:00:00.000,1.07935,1.07965,1.07903,1.07904,2109209960.9375
21.05.2021 06:00:00.000,1.07903,1.07944,1.07828,1.07846,4429419921.875
21.05.2021 07:00:00.000,1.07848,1.07885,1.07823,1.07880,8005799804.6875
21.05.2021 08:00:00.000,1.07881,1.07883,1.07821,1.07868,3870580078.125
21.05.2021 09:00:00.000,1.07870,1.07877,1.07727,1.07759,5464970214.8438
21.05.2021 10:00:00.000,1.07761,1.07826,1.07754,1.07768,4028290039.0625
21.05.2021 11:00:00.000,1.07769,1.07804,1.07716,1.07770,5871370117.1875
21.05.2021 12:00:00.000,1.07770,1.07836,1.07737,1.07815,4695609863.2813
21.05.2021 13:00:00.000,1.07814,1.07842,1.07762,1.07811,8647820312.5
21.05.2021 14:00:00.000,1.07811,1.07894,1.07774,1.07845,8067549804.6875
21.05.2021 15:00:00.000,1.07846,1.07901,1.07834,1.07893,6248910156.25
21.05.2021 16:00:00.000,1.07894,1.07919,1.07870,1.07877,4648259765.625
21.05.2021 17:00:00.000,1.07876,1.07898,1.07853,1.07882,3465169921.875
21.05.2021 18:00:00.000,1.07881,1.07903,1.07838,1.07899,2644600097.6563
21.05.2021 19:00:00.000,1.07896,1.07910,1.07855,1.07902,3466590087.8906
21.05.2021 20:00:00.000,1.07901,1.07931,1.07805,1.07805,2102679931.6406
23.05.2021 21:00:00.000,1.07592,1.07753,1.07592,1.07727,899530029.2969
23.05.2021 22:00:00.000,1.07729,1.07837,1.07646,1.07697,1926589965.8203
23.05.2021 23:00:00.000,1.07697,1.07772,1.07695,1.07716,1325310058.5938
24.05.2021 00:00:00.000,1.07716,1.07848,1.07715,1.07832,2859939941.4063
24.05.2021 01:00:00.000,1.07832,1.07836,1.07682,1.07728,5496830078.125
24.05.2021 02:00:00.000,1.07728,1.07784,1.07717,1.07780,2272060058.5938
24.05.2021 03:00:00.000,1.07778,1.07825,1.07746,1.07795,2376850097.6563
24.05.2021 04:00:00.000,1.07794,1.07838,1.07774,1.07830,1360469970.7031
24.05.2021 05:00:00.000,1.07830,1.07892,1.07818,1.07858,2164199951.1719
24.05.2021 06:00:00.000,1.07856,1.07900,1.07806,1.07815,3030360107.4219
24.05.2021 07:00:00.000,1.07815,1.07833,1.07691,1.07711,4076939941.4063
24.05.2021 08:00:00.000,1.07712,1.07719,1.07626,1.07652,4747089843.75
24.05.2021 09:00:00.000,1.07653,1.07714,1.07617,1.07709,4351220214.8438
24.05.2021 10:00:00.000,1.07709,1.07720,1.07641,1.07644,3372020019.5313
24.05.2021 11:00:00.000,1.07644,1.07656,1.07570,1.07599,3503489990.2344
24.05.2021 12:00:00.000,1.07597,1.07619,1.07467,1.07488,2842489990.2344
24.05.2021 13:00:00.000,1.07488,1.07506,1.07429,1.07495,5048040039.0625
24.05.2021 14:00:00.000,1.07498,1.07523,1.07415,1.07441,5933950195.3125
24.05.2021 15:00:00.000,1.07440,1.07497,1.07425,1.07435,4431319824.2188
24.05.2021 16:00:00.000,1.07435,1.07454,1.07396,1.07399,3664580078.125
24.05.2021 17:00:00.000,1.07400,1.07421,1.07369,1.07388,2835820068.3594
24.05.2021 18:00:00.000,1.07387,1.07457,1.07387,1.07423,1383819946.2891
24.05.2021 19:00:00.000,1.07418,1.07480,1.07416,1.07447,1845589965.8203
24.05.2021 20:00:00.000,1.07447,1.07463,1.07382,1.07400,1253199951.1719
24.05.2021 21:00:00.000,1.07326,1.07497,1.07310,1.07432,574880004.8828
24.05.2021 22:00:00.000,1.07423,1.07461,1.07415,1.07432,944229980.4688
24.05.2021 23:00:00.000,1.07430,1.07439,1.07384,1.07433,1728239990.2344
25.05.2021 00:00:00.000,1.07440,1.07479,1.07384,1.07390,3098209960.9375
25.05.2021 01:00:00.000,1.07391,1.07452,1.07342,1.07445,4794950195.3125
25.05.2021 02:00:00.000,1.07445,1.07458,1.07391,1.07400,1912010009.7656
25.05.2021 03:00:00.000,1.07401,1.07431,1.07359,1.07377,2478879882.8125
25.05.2021 04:00:00.000,1.07378,1.07386,1.07330,1.07339,1742369995.1172
25.05.2021 05:00:00.000,1.07338,1.07375,1.07324,1.07350,2276010009.7656
25.05.2021 06:00:00.000,1.07350,1.07405,1.07317,1.07397,4143020019.5313
25.05.2021 07:00:00.000,1.07397,1.07468,1.07382,1.07439,3746520019.5313
25.05.2021 08:00:00.000,1.07438,1.07482,1.07381,1.07390,4085969970.7031
25.05.2021 09:00:00.000,1.07389,1.07409,1.07332,1.07335,1985790039.0625
25.05.2021 10:00:00.000,1.07333,1.07393,1.07325,1.07345,2130439941.4063
25.05.2021 11:00:00.000,1.07345,1.07348,1.07220,1.07225,2556820068.3594
25.05.2021 12:00:00.000,1.07224,1.07230,1.07136,1.07208,4101229980.4688
25.05.2021 13:00:00.000,1.07208,1.07231,1.07170,1.07195,5814479980.4688
25.05.2021 14:00:00.000,1.07196,1.07249,1.07158,1.07239,6889209960.9375
25.05.2021 15:00:00.000,1.07239,1.07292,1.07209,1.07272,7052169921.875
25.05.2021 16:00:00.000,1.07271,1.07280,1.07219,1.07242,4495120117.1875
25.05.2021 17:00:00.000,1.07241,1.07259,1.07206,1.07213,4087590087.8906
